COMMON_NAME,SCIENTIFIC_NAME,obs
Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,72
Yellow-bellied x Red-naped Sapsucker (hybrid),Sphyrapicus varius x nuchalis,72
Anna's x Calliope Hummingbird (hybrid),Calypte anna x Selasphorus calliope,73
Redhead x Ring-necked Duck (hybrid),Aythya americana x collaris,73
Anna's x Rufous Hummingbird (hybrid),Calypte anna x Selasphorus rufus,75
Dark-eyed Junco x White-throated Sparrow (hyb,Junco hyemalis x Zonotrichia albicollis,76
Ring-necked Duck x scaup sp. (hybrid),Aythya collaris x marila/affinis,81
Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii,85
Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,90
Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,95
Western Kingbird x Scissor-tailed Flycatcher ,Tyrannus verticalis x forficatus,100
Canvasback x Redhead (hybrid),Aythya valisineria x americana,104
Golden-fronted x Red-bellied Woodpecker (hybr,Melanerpes aurifrons x carolinus,104
Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos,104
Rose-breasted x Black-headed Grosbeak (hybrid,Pheucticus ludovicianus x melanocephalus,105
Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata,109
Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera,111
Anna's x Costa's Hummingbird (hybrid),Calypte anna x costae,113
California x Gambel's Quail (hybrid),Callipepla californica x gambelii,127
Steller's Jay x Woodhouse's Scrub-Jay (hybrid,Cyanocitta stelleri x Aphelocoma woodhouseii,127
Greater White-fronted x Cackling Goose (hybri,Anser albifrons x Branta hutchinsii,129
Northern Cardinal x Pyrrhuloxia (hybrid),Cardinalis cardinalis x sinuatus,143
Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,150
Lucifer x Costa's Hummingbird (hybrid),Calothorax lucifer x Calypte costae,171
Altamira x Audubon's Oriole (hybrid),Icterus gularis x graduacauda,181
Herring x Kelp Gull (hybrid),Larus argentatus x dominicanus,194
Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,199
White-crowned x Golden-crowned Sparrow (hybri,Zonotrichia leucophrys x atricapilla,208
Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,242
Nuttall's x Ladder-backed Woodpecker (hybrid),Dryobates nuttallii x scalaris,247
Bufflehead x Common Goldeneye (hybrid),Bucephala albeola x clangula,264
Downy x Ladder-backed Woodpecker (hybrid),Dryobates pubescens x scalaris,280
American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,284
Red-shouldered x Red-tailed Hawk (hybrid),Buteo lineatus x jamaicensis,290
Swan Goose (Domestic type) x Canada Goose (hy,Anser cygnoides (Domestic type) x Branta cana,298
Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,304
Snowy Egret x Tricolored Heron (hybrid),Egretta thula x tricolor,332
Herring x Lesser Black-backed Gull (hybrid),Larus argentatus x fuscus,339
Spotted x Eastern Towhee (hybrid),Pipilo maculatus x erythrophthalmus,360
Herring x Great Black-backed Gull (hybrid),Larus argentatus x marinus,374
Black-capped x Mountain Chickadee (hybrid),Poecile atricapillus x gambeli,377
Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,402
