COMMON_NAME,N
Magnolia x Yellow-rumped Warbler (hybrid),1
Magpie Goose,3
Magpie Mannikin,1
Mallard,4962352
Mallard (Domestic type),193568
Mallard x American Black Duck (hybrid),32386
Mallard x Green-winged Teal (hybrid),10
Mallard x Hawaiian Duck (hybrid),5381
Mallard x Mexican Duck (hybrid),6223
Mallard x Mottled Duck (hybrid),21714
Mallard x Northern Pintail (hybrid),440
Mallard x Red-crested Pochard (hybrid),2
Mallard x Redhead (hybrid),14
Mandarin Duck,4064
Mangrove Cuckoo,2370
Manx Shearwater,10368
Marbled Godwit,218761
Marbled Murrelet,34549
Mariana Swiftlet,199
Marsh Sandpiper,685
Marsh Wren,584981
Masked Booby,3623
Masked Duck,333
Maui Alauahio,1021
Maui Parrotbill,123
McCown's Longspur,9035
McKay's Bunting,403
Mealy Parrot,8
Merlin,324904
Mew Gull,173348
Mexican Chickadee,3311
Mexican Duck,18376
Mexican Jay,68671
Mexican Violetear,238
Mexican Whip-poor-will,4822
Mexican x Mottled Duck (hybrid),4
Middendorff's Grasshopper-Warbler,3
Military Macaw,8
Millerbird,10
Mississippi Kite,127856
Mitred Parakeet,6438
Monk Parakeet,59349
Montezuma Quail,9708
Morelet's Seedeater,3022
Mottled Duck,216423
Mottled Petrel,826
Mountain Bluebird,160992
Mountain Chickadee,376567
Mountain Plover,7894
Mountain Quail,26479
Mourning Dove,7311525
Mourning Warbler,56950
Mourning Warbler x Common Yellowthroat (hybri,2
Murphy's Petrel,1244
Muscovy Duck,49547
Muscovy Duck (Domestic type),51279
Muscovy Duck x Mallard (hybrid),1788
Mute Swan,497019
Namaqua Dove,1
Nanday Parakeet,26764
Nashville Warbler,384236
Naumann's Thrush,1
Nazca Booby,1240
Nelson's Sparrow,23482
Nelson's x Saltmarsh Sparrow (hybrid),10
Neotropic Cormorant,197604
Neotropic x Double-crested Cormorant (hybrid),23
New Guinea Scrubfowl,2
Newell's Shearwater,546
Nicobar Pigeon,1
Nihoa Finch,11
Northern Beardless-Tyrannulet,18024
Northern Bobwhite,162695
Northern Bobwhite x Scaled Quail (hybrid),4
Northern Cardinal,6896037
Northern Cardinal x Pyrrhuloxia (hybrid),143
Northern Catbird,2
Northern Flicker,3769589
Northern Fulmar,49982
Northern Gannet,137264
Northern Goshawk,27695
Northern Harrier,1119822
Northern Jacana,1182
Northern Lapwing,1463
Northern Mockingbird,3517599
Northern Parula,738315
Northern Pintail,620483
Northern Pintail x Green-winged Teal (hybrid),8
Northern Pygmy-Owl,24671
Northern Red Bishop,7021
Northern Rough-winged Swallow,916364
Northern Rough-winged x Violet-green Swallow ,1
Northern Saw-whet Owl,31859
Northern Shoveler,1170989
Northern Shoveler x American Wigeon (hybrid),1
Northern Shoveler x Gadwall (hybrid),111
Northern Shoveler x Mallard (hybrid),17
Northern Shrike,72853
Northern Waterthrush,252579
Northern Wheatear,4157
Northern x Gilded Flicker (hybrid),1
Northern x Tropical Parula (hybrid),59
Northwestern Crow,44755
Nuttall's Woodpecker,367174
Nuttall's x Ladder-backed Woodpecker (hybrid),247
Nutting's Flycatcher,532
Oahu Amakihi,1252
Oahu Elepaio,570
Oak Titmouse,324307
Olive-backed Pipit,518
Olive-sided Flycatcher,126661
Olive Sparrow,44065
Olive Warbler,9623
Omao,9353
Opal-rumped Tanager,1
Orange-billed Nightingale-Thrush,47
Orange-cheeked Waxbill,1523
Orange-crowned Warbler,797720
Orange-fronted Parakeet,1
Orange-winged Parrot,1245
Orange Weaver,1
Orchard Oriole,391328
Oriental Cuckoo,92
Oriental Greenfinch,7
Oriental Pied-Hornbill,1
Oriental Turtle-Dove,8
Oriental White-eye,3
Osprey,1680715
Ovenbird,647318
Pacific-slope Flycatcher,200555
Pacific Golden-Plover,40379
Pacific Loon,97719
Pacific Parrotlet,3
Pacific Swift,22
Pacific Wren,202265
Painted Bunting,151977
Painted Redstart,42191
Painted x Slate-throated Redstart (hybrid),3
Palila,1056
Pallas's Bunting,46
Pallas's Rosefinch,17
Palm Warbler,799244
Papuan Boobook,1
Paradise Tanager,2
Parakeet Auklet,6410
Parasitic Jaeger,50552
Peacock Coquette,5
Pechora Pipit,36
Pectoral Sandpiper,219414
Pelagic Cormorant,171534
Peregrine Falcon,398060
Peregrine x Prairie Falcon (hybrid),2
Pesquet's Parrot,1
Peters's Twinspot,2
Phainopepla,176756
Philadelphia Vireo,61843
Pied-billed Grebe,1594554
Pied Crow,22
Pied Wheatear,22
Pigeon Guillemot,105778
Pileated Woodpecker,1342614
Pin-tailed Snipe,40
Pin-tailed Whydah,5940
Pine Bunting,21
Pine Flycatcher,246
Pine Grosbeak,38609
Pine Siskin,760804
Pine Siskin x American Goldfinch (hybrid),1
Pine Warbler,770649
Pink-backed Pelican,1
Pink-footed Goose,4368
Pink-footed Shearwater,58345
Pinyon Jay,31691
Piping Plover,90271
Piratic Flycatcher,61
Plain-capped Starthroat,1229
Plain Chachalaca,49730
Plumbeous Vireo,72750
Plumed Whistling-Duck,58
Pomarine Jaeger,41342
Prairie Falcon,77595
Prairie Warbler,260318
Prothonotary Warbler,167144
Purple Finch,583474
Purple Gallinule,58700
Purple Grenadier,1
Purple Honeycreeper,2
Purple Martin,579954
Purple Sandpiper,34307
Pygmy Nuthatch,214720
Pyrrhuloxia,95566
Radjah Shelduck,4
Rainbow Lorikeet,3
Razorbill,32446
Red-and-green Macaw,5
Red-backed Buttonquail,1
Red-backed Scrub-Robin,1
Red-backed Shrike,18
